"","spp","Predicted","SE","lower","upper","island"
"1","apop",19.3229197937413,0.634794724123823,18.1179542641305,20.6080236163616,"Rota"
"2","apop",19.3229197937413,0.634794724123823,18.1179542641305,20.6080236163616,"Saipan"
"3","apop",19.3229197937413,0.634794724123823,18.1179542641305,20.6080236163616,"Tinian"
"4","clma",19.7773725623247,0.737511888219928,18.3834365753943,21.2770046484414,"Saipan"
"5","coku",31.7538314507651,11.3199995679623,15.7888047671223,63.8620735816074,"Rota"
"6","dima",18.1295812033529,0.898989102238743,16.4505095864362,19.9800324045871,"Rota"
"7","gaga",44.5711640516018,5.12753481509262,35.5738156749107,55.8441265640192,"Rota"
"8","gaga",44.5711640516018,5.12753481509262,35.5738156749107,55.8441265640192,"Saipan"
"9","gaga",44.5711640516018,5.12753481509262,35.5738156749107,55.8441265640192,"Tinian"
"10","gaxa",37.8987972317072,2.88190288280985,32.651136490814,43.9898571988189,"Rota"
"11","gaxa",37.8987972317072,2.88190288280985,32.651136490814,43.9898571988189,"Saipan"
"12","gaxa",37.8987972317072,2.88190288280985,32.651136490814,43.9898571988189,"Tinian"
"13","gyal",19.5008007474199,2.47585050725388,15.2048674287077,25.0104929604699,"Rota"
"14","gyal",19.5008007474199,2.47585050725388,15.2048674287077,25.0104929604699,"Saipan"
"15","mela",22.1248761573807,4.21264378006252,15.2338432689826,32.1330695305312,"Saipan"
"16","mota",19.378410169973,0.766045999623862,17.9336785396767,20.9395289362916,"Tinian"
"17","myru",15.7325284095652,0.997954019968661,13.8932759081159,17.8152691845118,"Rota"
"18","myru",15.7325284095652,0.997954019968661,13.8932759081159,17.8152691845118,"Saipan"
"19","myru",15.7325284095652,0.997954019968661,13.8932759081159,17.8152691845118,"Tinian"
"20","ptro",48.9387115598633,1.4630827129847,46.1535188996658,51.8919802051504,"Rota"
"21","ptro",48.9387115598633,1.4630827129847,46.1535188996658,51.8919802051504,"Saipan"
"22","ptro",48.9387115598633,1.4630827129847,46.1535188996658,51.8919802051504,"Tinian"
"23","rhru",21.2683345963321,0.458152921959468,20.3890636818478,22.185523747432,"Rota"
"24","rhru",21.2683345963321,0.458152921959468,20.3890636818478,22.185523747432,"Saipan"
"25","rhru",21.2683345963321,0.458152921959468,20.3890636818478,22.185523747432,"Tinian"
"26","stbi",47.1984436285228,4.98841618612902,38.3675403232251,58.061920628421,"Rota"
"27","stbi",47.1984436285228,4.98841618612902,38.3675403232251,58.061920628421,"Saipan"
"28","stbi",47.1984436285228,4.98841618612902,38.3675403232251,58.061920628421,"Tinian"
"29","toch",31.3857137179678,1.44447808115932,28.6785241245818,34.3484560539809,"Rota"
"30","toch",31.3857137179678,1.44447808115932,28.6785241245818,34.3484560539809,"Saipan"
"31","toch",31.3857137179678,1.44447808115932,28.6785241245818,34.3484560539809,"Tinian"
"32","zoco",21.6535440998236,0.491692667554403,20.7109744812919,22.6390106610647,"Saipan"
"33","zoco",21.6535440998236,0.491692667554403,20.7109744812919,22.6390106610647,"Tinian"
